pk_permissionid,permission,permission_code,description
98,Allow user to delete travel,system.travel.delete,Allow user to delete travel
99,Allow users to manage files,system.travel.files,Allow users to manage files
100,Allow users to access everything in the system.,system.root.access,Allow users to access everything in the system.
101,All user to view loans,system.loans.view,All user to view loans
102,Allow user to view loan,system.loan.view,Allow user to view loan
103,All user to add loan,system.loan.add,All user to add loan
104,Allow user to manage loan,system.loan.manage,Allow user to manage loan
105,Allow user to delete loan,system.loan.delete,Allow user to delete loan
106,Allow users to manage files,system.loan.files,Allow users to manage files
107,Allo user to view mileages,system.mileages.view,Allo user to view mileages
108,Allow users tp view mileage,system.mileage.view,Allow users tp view mileage
109,Allow users to add mileage,system.mileage.add,Allow users to add mileage
110,Allow users to manage mileage,system.mileage.manage,Allow users to manage mileage
111,Allow users to delete mileage,system.mileage.delete,Allow users to delete mileage
112,Allow users to manage files,system.mileage.files,Allow users to manage files
113,Allow user to view inductions,system.inductions.view,Allow user to view inductions
114,Allow users to view induction,system.induction.view,Allow users to view induction
115,Allow users to add induction programme,system.induction.add,Allow users to add induction programme
116,Allow user to manage induction programme,system.induction.manage,Allow user to manage induction programme
117,Allow user to delete induction programme,system.induction.delete,Allow user to delete induction programme
118,Allow user to manage induction programme files.,system.induction.files,Allow user to manage induction programme files.
119,Allow users to view all new employees,system.newemployees.view,Allow users to view all new employees
120,Allow user to vew new employee,system.newemployee.view,Allow user to vew new employee
121,Allow users to add new employee,system.newemployee.add,Allow users to add new employee
122,Allow usets to manage new employee,system.newemployee.manage,Allow usets to manage new employee
123,Allow users to delete new employee,system.newemployee.delete,Allow users to delete new employee
124,Allow users to manage files,system.newemployee.files,Allow users to manage files
125,Allow user to view it equipments,system.equipments.view,Allow user to view it equipments
126,Allow user to view IT equipment,system.equipment.view,Allow user to view IT equipment
127,Allow user to request equipment,system.equipment.add,Allow user to request equipment
128,Allow user to manage requested IT equipment,system.equipment.manage,Allow user to manage requested IT equipment
129,Allow user to delete IT equipment,system.equipment.delete,Allow user to delete IT equipment
130,Allow user to manage requested equiment files,system.equipment.files,Allow user to manage requested equiment files
131,Allow user to view role and  applications requests,system.roleapplications.view,Allow user to view role and  applications requests
132,Allow user view role applications,system.roleapplication.view,Allow user view role applications
133,Allow user to add role application request.,system.roleapplication.add,Allow user to add role application request.
134,Allow user to manage role applications request,system.roleapplication.manage,Allow user to manage role applications request
135,Allow user to delete role application request,system.roleapplication.delete,Allow user to delete role application request
136,Allow users to manage role applications files,system.roleapplication.files,Allow users to manage role applications files
137,Allow users to views procurement requests,system.procurements.view,Allow users to views procurement requests
138,Allow users to view procurement requests,system.procurement.view,Allow users to view procurement requests
139,Allow users to add procurement requests,system.procurement.add,Allow users to add procurement requests
140,Allow users to manage procurement requests,system.procurement.manage,Allow users to manage procurement requests
141,Allow users to delete procurement requests files,system.procurement.delete,Allow users to delete procurement requests files
142,Allow user to manage procurement files,system.procurement.files,Allow user to manage procurement files
143,Allow user to manage cost comparison,system.costcomparison.manage,Allow user to manage cost comparison
144,Allow users to view vendors,system.vendors.view,Allow users to view vendors
145,Allow users to view vendors,system.vendor.view,Allow users to view vendors
146,Allow user to add vendor,system.vendor.add,Allow user to add vendor
147,Allow user to manage vendors,system.vendor.manage,Allow user to manage vendors
148,Allow user to delete vendors,system.vendor.delete,Allow user to delete vendors
149,Allow user to manage vendor files,system.vendor.files,Allow user to manage vendor files
150,Allow user to view stationery request,system.stationeryrequests.view,Allow user to view stationery request
151,Allow user  to view stationery request,system.stationeryrequest.view,Allow user  to view stationery request
152,Allow users to add stationery request,system.stationeryrequest.add,Allow users to add stationery request
153,Allow user to manage stationery request,system.stationeryrequest.manage,Allow user to manage stationery request
154,Allow user to delete stationery request,system.stationeryrequest.delete,Allow user to delete stationery request
155,Allow user to manage request files,system.stationeryrequest.files,Allow user to manage request files
156,Allow user to view customer accounts,system.customeraccounts.view,Allow user to view customer accounts
157,Allow user to view customer account,system.customeraccount.view,Allow user to view customer account
158,Allow user to create customer account,system.customeraccount.add,Allow user to create customer account
159,Allow user to manage customer account,system.customeraccount.manage,Allow user to manage customer account
160,Allow user delete customer account,system.customeraccount.delete,Allow user delete customer account
161,Allow user to manage customer account files,system.customeraccount.files,Allow user to manage customer account files
162,Allow user to view internal memos,system.internalmemos.view,Allow user to view internal memos
163,Allow user to view internal memo,system.internalmemo.view,Allow user to view internal memo
164,Allow user to add internal memo,system.internalmemo.add,Allow user to add internal memo
165,Allow user to manage internal memos,system.internalmemo.manage,Allow user to manage internal memos
166,Allow user to delete internal memo,system.internalmemo.delete,Allow user to delete internal memo
167,Allow user to manage files,system.internalmemo.files,Allow user to manage files
168,Allow users to view wastes,system.wastes.view,Allow users to view wastes
169,Allow user to view waste,system.waste.view,Allow user to view waste
170,Allow user to request waste management,system.waste.add,Allow user to request waste management
171,Allow user to manage waste management request,system.waste.manage,Allow user to manage waste management request
172,Allow user to manage waste management requests,system.waste.delete,Allow user to manage waste management requests
173,Allow user to manage waste,system.waste.files,Allow user to manage waste
174,Allow users to view loan types,system.loantype.view,Allow users to view loan types
175,Allow users to add loan type,system.loantype.add,Allow users to add loan type
176,Allow users to manage loan type,system.loantype.manage,Allow users to manage loan type
177,Allow users to delete loan type,system.loantype.delete,Allow users to delete loan type
178,Allow users to view human resources module,module.humanresource.view,Allow users to view human resources module
179,Allow users to view IT module,module.IT.view,Allow users to view IT module
180,Allow users to view finance module,module.finance.view,Allow users to view finance module
181,Allow users to view marketing and communication module,module.marketingandcommunication.view,Allow users to view marketing and communication module
182,Allow users to access administration module,module.systemadministration.view,Allow users to access administration module
183,Allow users to view procurement module,module.procurement.view,Allow users to view procurement module
184,Allow users to view stationery,system.stationery.view,Allow users to view stationery
185,Allow users to add stationery,system.stationery.add,Allow users to add stationery
186,Allow users to manage stationery,system.stationery.manage,Allow users to manage stationery
187,Allow users to delete stationery,system.stationery.delete,Allow users to delete stationery
188,system.inductionactivities.view,system.inductionactivities.view,system.inductionactivities.view
189,system.inductionactivities.add,system.inductionactivities.add,system.inductionactivities.add
190,system.inductionactivities.manage,system.inductionactivities.manage,system.inductionactivities.manage
191,system.inductionactivities.delete,system.inductionactivities.delete,system.inductionactivities.delete
192,system.approvedallowance.add,system.approvedallowance.add,system.approvedallowance.add
