pk_permissionid,permission,permission_code,description
108,system.loan.delete,system.loan.delete,Allow user to delete loan
109,system.loan.files,system.loan.files,Allow users to manage files
110,system.mileages.view,system.mileages.view,Allo user to view mileages
111,system.mileage.view,system.mileage.view,Allow users tp view mileage
112,system.mileage.add,system.mileage.add,Allow users to add mileage
113,system.mileage.manage,system.mileage.manage,Allow users to manage mileage
114,system.mileage.delete,system.mileage.delete,Allow users to delete mileage
115,system.mileage.files,system.mileage.files,Allow users to manage files
116,system.inductions.view,system.inductions.view,Allow user to view inductions
117,system.induction.view,system.induction.view,Allow users to view induction
118,system.induction.add,system.induction.add,Allow users to add induction programme
119,system.induction.manage,system.induction.manage,Allow user to manage induction programme
120,system.induction.delete,system.induction.delete,Allow user to delete induction programme
121,system.induction.files,system.induction.files,Allow user to manage induction programme files.
122,system.newemployees.view,system.newemployees.view,Allow users to view all new employees
123,system.newemployee.view,system.newemployee.view,Allow user to vew new employee
124,system.newemployee.add,system.newemployee.add,Allow users to add new employee
125,system.newemployee.manage,system.newemployee.manage,Allow usets to manage new employee
126,system.newemployee.delete,system.newemployee.delete,Allow users to delete new employee
127,system.newemployee.files,system.newemployee.files,Allow users to manage files
128,system.equipments.view,system.equipments.view,Allow user to view it equipments
129,system.equipment.view,system.equipment.view,Allow user to view IT equipment
130,system.equipment.add,system.equipment.add,Allow user to request equipment
131,system.equipment.manage,system.equipment.manage,Allow user to manage requested IT equipment
132,system.equipment.delete,system.equipment.delete,Allow user to delete IT equipment
133,system.equipment.files,system.equipment.files,Allow user to manage requested equiment files
134,system.roleapplications.view,system.roleapplications.view,Allow user to view role and  applications requests
135,system.roleapplication.view,system.roleapplication.view,Allow user view role applications
136,system.roleapplication.add,system.roleapplication.add,Allow user to add role application request.
137,system.roleapplication.manage,system.roleapplication.manage,Allow user to manage role applications request
138,system.roleapplication.delete,system.roleapplication.delete,Allow user to delete role application request
139,system.roleapplication.files,system.roleapplication.files,Allow users to manage role applications files
140,system.procurements.view,system.procurements.view,Allow users to views procurement requests
141,system.procurement.view,system.procurement.view,Allow users to view procurement requests
142,system.procurement.add,system.procurement.add,Allow users to add procurement requests
143,system.procurement.manage,system.procurement.manage,Allow users to manage procurement requests
144,system.procurement.delete,system.procurement.delete,Allow users to delete procurement requests files
145,system.procurement.files,system.procurement.files,Allow user to manage procurement files
146,system.costcomparison.manage,system.costcomparison.manage,Allow user to manage cost comparison
147,system.vendors.view,system.vendors.view,Allow users to view vendors
148,system.vendor.view,system.vendor.view,Allow users to view vendors
149,system.vendor.add,system.vendor.add,Allow user to add vendor
150,system.vendor.manage,system.vendor.manage,Allow user to manage vendors
151,system.vendor.delete,system.vendor.delete,Allow user to delete vendors
152,system.vendor.files,system.vendor.files,Allow user to manage vendor files
153,system.stationeryrequests.view,system.stationeryrequests.view,Allow user to view stationery request
154,system.stationeryrequest.view,system.stationeryrequest.view,Allow user  to view stationery request
155,system.stationeryrequest.add,system.stationeryrequest.add,Allow users to add stationery request
156,system.stationeryrequest.manage,system.stationeryrequest.manage,Allow user to manage stationery request
157,system.stationeryrequest.delete,system.stationeryrequest.delete,Allow user to delete stationery request
158,system.stationeryrequest.files,system.stationeryrequest.files,Allow user to manage request files
159,system.customeraccounts.view,system.customeraccounts.view,Allow user to view customer accounts
160,system.customeraccount.view,system.customeraccount.view,Allow user to view customer account
161,system.customeraccount.add,system.customeraccount.add,Allow user to create customer account
162,system.customeraccount.manage,system.customeraccount.manage,Allow user to manage customer account
163,system.customeraccount.delete,system.customeraccount.delete,Allow user delete customer account
164,system.customeraccount.files,system.customeraccount.files,Allow user to manage customer account files
165,system.internalmemos.view,system.internalmemos.view,Allow user to view internal memos
166,system.internalmemo.view,system.internalmemo.view,Allow user to view internal memo
167,system.internalmemo.add,system.internalmemo.add,Allow user to add internal memo
168,system.internalmemo.manage,system.internalmemo.manage,Allow user to manage internal memos
